,Precio,Direccion,Barrio
1211,USD 240.000,Villa Belgrano - Mariotte,"Villa Belgrano, Córdoba"
1212,USD 139.000,ACONQUIJA 2892,"Parque Capital, Córdoba"
1213,USD 299.000,Imperdible- Siete Soles Heredades - 3 Dorm - Gran Parque!!!,"Siete Soles Naturaleza Urbana, Córdoba"
1214,$ 22.500.000,velez sarsfield 1340,"Nueva Córdoba, Córdoba"
1215,USD 250.000,Manco Capac 3890 1,"Jardín Espinosa, Córdoba"
1216,USD 550.000,"Molina de Torres, El bosque country 5300","El Bosque, Córdoba"
1217,USD 100.000,Torre GNI 2 Dor. Colon Y Zipoli.,"Alto Alberdi, Córdoba"
1218,USD 55.000,Hermosos Departamento de un Dormitorio Patria al 300,"General Paz, Córdoba"
1219,USD 425.000,El Bosque,"El Bosque, Córdoba"
1220,Consultar precio,Tycho Brahe 4979,"Villa Belgrano, Córdoba"
1221,USD 96.000,Jardin - Appto Bancor,"Córdoba, Córdoba"
1222,USD 69.000,Bv. los Andes al 100,"Cofico, Córdoba"
1223,USD 590.000,Av Valparaiso al 4300,"Ayres del Sur, Córdoba"
1224,USD 47.000,Rosario de Santa Fe al 1500,"General Paz, Córdoba"
1225,USD 105.000,Juan del Campillo al 100,"Cofico, Córdoba"
1226,USD 115.000,Av Armada Argentina 5700,"San Ignacio Village, Córdoba"
1227,USD 175.000,Chacra del Norte II,"Chacra del Norte, Córdoba"
1228,USD 150.000,GREENVILLE 2 ,"Greenville II, Córdoba"
1229,Consultar precio,Hipólito Irigoyen y Estrada- Frente Plaza España,"Nueva Córdoba, Córdoba"
1230,USD 165.000,Calmayo 2010,"Jardín, Córdoba"
1231,USD 108.000,Obispo Salguero 738,"Nueva Córdoba, Córdoba"
1232,USD 72.000,AVENIDA VELEZ SARSFIELD 677,"Nueva Córdoba, Córdoba"
1233,USD 175.000,Gauss 5700,"Villa Belgrano, Córdoba"
1234,USD 39.500,Obispo Trejo 300 6°,"Centro, Córdoba"
1235,$ 51.090.940,Independencia 1077,"Nueva Córdoba, Córdoba"
1236,USD 190.000,Cañuelas Chico,"Cañuelas Country Golf, Córdoba"
1237,USD 44.200,Dean Funes 800,"Centro, Córdoba"
1238,USD 95.000,Independencia al 1200,"Nueva Córdoba, Córdoba"
1239,USD 69.500,docta,"DOCTA, Córdoba"
1240,USD 41.500,Viamonte al 1200,"General Pueyrredón, Córdoba"
1241,USD 59.000,Departamento 1 Dormitorio Nueva Cordoba - Santiago Temple 134,"Nueva Córdoba, Córdoba"
1242,USD 57.500,Estados Unidos al 2600,"San Vicente, Córdoba"
1243,USD 105.000,cañada de gomez 0,"Solares de Manantiales, Córdoba"
1244,USD 165.000,Trafalgar 600,"Alta Córdoba, Córdoba"
1245,USD 78.000,Etruria 9200,"Villa Rivera Indarte, Córdoba"
1246,USD 90.000,Cataluña 2400,"Colón, Córdoba"
1247,USD 166.000,General Deheza 63,"General Paz, Córdoba"
1248,USD 43.000,Bedoya 128 - Cofico,"Cofico, Córdoba"
1249,USD 115.000,Cañada de Gómez,"Prados de Manantiales, Córdoba"
1250,USD 75.000,Obispo Trejo 1300,"Córdoba, Córdoba"
1251,USD 350.000,Wenseslau Paunero,"Rogelio Martínez, Córdoba"
1252,USD 550.000,Consultar dirección,"El Bosque, Córdoba"
1253,USD 145.000,Casa en Greenville 2,"Greenville II, Córdoba"
1254,USD 650.000,ALTOS DEL CHATEAU,"Altos del Chateau, Córdoba"
1255,USD 95.000,Mexico al 1300,"General Pueyrredón, Córdoba"
1256,USD 79.000,Bv San Juan 737,"Alberdi, Córdoba"
1257,USD 160.000,Rogelio Martinez 1900,"Maipú, Córdoba"
1258,USD 140.000,Lautaro 600,"San Fernando, Córdoba"
1259,USD 125.000,Rosario de Santa Fe al 900,"General Paz, Córdoba"
1260,USD 650.000,Lomas de la Carolina SE Acepta Menor,"Lomas de la Carolina, Córdoba"
1261,USD 378.000,Faustino Allende al 400,"Cofico, Córdoba"
1262,USD 129.000,Av Colón 5300,"Córdoba, Córdoba"
1263,USD 245.000,Claudio DE Arredondo,"Córdoba, Córdoba"
1264,USD 75.000,Obispo Salguero 670,"Nueva Córdoba, Córdoba"
1265,USD 123.456,"Casa EN Venta 3 Dormitorios a Estrenar en Distrito Sur, Barrio con Vigilancia 24hrs","La Calandria, Córdoba"
1266,USD 35.000,Calderon De La Barca 700,"Alta Córdoba, Córdoba"
1267,USD 120.000,Av. Olmos al 300,"Centro, Córdoba"
1268,USD 38.900,Martín García al 1500,"Lomas de San Martín, Córdoba"
1269,USD 200.000,Poeta Lugones al 200,"Nueva Córdoba, Córdoba"
1270,USD 42.000,Arrecifes S/N,"Colón, Córdoba"
1271,USD 63.000,General Paz,"General Paz, Córdoba"
1272,USD 85.000,Eleven Stylo- Oncativo 1454,"General Paz, Córdoba"
1273,USD 349.000,Fernando Fader 3450,"Cerro de las Rosas, Córdoba"
1274,USD 148.500,Soul-lima 1695- 2 Dor + Balcon Gral Paz,"General Paz, Córdoba"
1275,USD 75.000,Viamonte 417,"General Paz, Córdoba"
1276,USD 180.000,Av Republica de China al 700,"Patagonia Village, Valle Escondido "
1277,USD 89.000,Felix Frias al 100 - C/ Opción a Cochera !,"General Paz, Córdoba"
1278,USD 790.000,"Country Barrancas de Categoria y con Seguridad 24 hs en Urca, Cordoba, Argentina","Córdoba, Córdoba"
1279,USD 48.000,Balcarce 300,"Nueva Córdoba, Córdoba"
1280,USD 145.000,Hugo Miatello 4500,"Poeta Lugones, Córdoba"
1281,USD 69.000,Obispo Trejo 1200 - Ideal Inversor -,"Nueva Córdoba, Córdoba"
1282,USD 385.000,AV OHIGGINS 6200,"Greenville II, Córdoba"
1283,USD 120.000,Manantiales,"Manantiales, Córdoba"
1284,USD 81.000,Juan Del Campillo,"Cofico, Córdoba"
1285,USD 185.000,Greenville 2 Lote / N° 0,"Greenville II, Córdoba"
1286,USD 220.000,Casa Manantiales 2! Prados!,"Prados de Manantiales, Córdoba"
1287,USD 48.000,Av. J. M. de Pueyrredón 945,"Observatorio, Córdoba"
1288,USD 165.000,Marcelo T de Alvear 30,"Centro, Córdoba"
1289,USD 129.000,Romulo Bogliolo 2669,"Poeta Lugones, Córdoba"
1290,USD 220.000,Potel Junot 6195,"Granja de Funes, Córdoba"
1291,USD 45.000,Maipu - Esposos Curie al 1900,"Maipú, Córdoba"
1292,USD 520.000,El Bosque,"El Bosque, Córdoba"
1293,USD 140.000,Av. Cruz Roja 100,"Casonas de Manantiales, Córdoba"
1294,USD 38.000,Lima al 300,"Centro, Córdoba"
1295,USD 115.000,Raul Rina al 8700,"Argüello, Córdoba"
1296,USD 235.000,San Cayetano 5900,"Córdoba, Córdoba"
1297,USD 298.000,"Venta Casa en Claros del Bosque Etapa 1! 4 Dormitorios , Oficina Separada y Pileta","Claros del Bosque, Córdoba"
1298,USD 320.000,Casa a la Venta en San Salvador con 3 Terrenos!,"San Salvador, Córdoba"
1299,USD 142.000,Bardas Dos 4B,"Córdoba, Córdoba"
1300,USD 230.000,Nuestra Sra. de Loreto 1400,"Córdoba, Córdoba"
1301,USD 45.000,Belgrano 1400,"Güemes, Córdoba"
1302,USD 62.900,Pje Santo Tomas y Bv San Juan,"Centro, Córdoba"
1303,USD 37.000,Coronel Olmedo 133,"Alberdi, Córdoba"
1304,USD 115.000,"Venta Departamento en Nueva Córdoba de 3 Dormitorios ,dependencia , Cochera. Apto Bancor","Nueva Córdoba, Córdoba"
1305,USD 90.000,Manantiales,"Córdoba, Córdoba"
1306,USD 165.000,Casa en Venta de 3 Dorms en B° Nuevo Urca. Con Escritura. Zona Norte. Certif. Apto Bancor,"Nuevo URCA, Córdoba"
1307,USD 158.000,Manantiales,"Manantiales, Córdoba"
1308,USD 260.000,Rodriguez del Busto 3410,"Alto Verde, Córdoba"
1309,USD 172.500,Manantiales,"Manantiales, Córdoba"
1310,USD 560.000,Soldado Ramón A. Cabrera 6950,"Altos del Chateau, Córdoba"
1311,USD 490.000,"Casa a la Venta en Lomas de La Carolina, Toda en Planta Baja, Luminosa y muy Bien Distribuida","Lomas de la Carolina, Córdoba"
1312,USD 49.000,San Martin al 200,"Centro, Córdoba"
1313,USD 75.000,Catamarca al 1200,"General Paz, Córdoba"
1314,$ 58.949.443,24 de Septiembre 1170- Green Life II,"General Paz, Córdoba"
1315,USD 90.000,Catamarca 851,"General Paz, Córdoba"
1316,USD 530.000,El Bosque,"El Bosque, Córdoba"
1317,USD 850.000,Altos del Chateau Contemporánea Pileta Climatizada,"Altos del Chateau, Córdoba"
1318,USD 790.000,Las Delicias 6,"Las Delicias, Córdoba"
1319,USD 250.000,25 de Mayo al 700,"General Paz, Córdoba"
1320,USD 97.000,Av. Gral. Ortiz de Ocampo 300,"General Paz, Córdoba"
1321,USD 170.000,Aaron de Anchorena 5839,"Jorge Newbery, Córdoba"
1322,USD 110.000,Ramón Cárcano al 280,"Villa Belgrano, Córdoba"
1323,USD 69.900,"Departamento en Venta en Barrio General Paz, 1 Dormitorio Amplio, con Cochera, 2b, 2 Balcones. Escritura","General Paz, Córdoba"
1324,USD 450.000,Cañuelas Country Golf,"Cañuelas Country Golf, Córdoba"
1325,USD 102.562,General Paz,"General Paz, Córdoba"
1326,USD 450.000,Manantiales Country - San Antonio al 1229,"Córdoba, Córdoba"
1327,USD 75.000,AVENIDA VELEZ SARSFIELD 671,"Nueva Córdoba, Córdoba"
1328,USD 65.000,felix frias 61,"General Paz, Córdoba"
1329,USD 215.000,Av. República de China al 500,"Las Moras, Valle Escondido "
1330,USD 240.000,Calmayo Esquina Iñigo de la Pascua . USO Comercial,"Jardín Espinosa, Córdoba"
1331,USD 97.000,San Antonio 3500,"Manantiales, Córdoba"
1332,USD 180.000,rondeau 471,"Nueva Córdoba, Córdoba"
1333,USD 205.000,"Casa en Venta en Tejas 3. Pileta, Gran Jardin y Galeria. Apto Credito Bancor","Córdoba, Córdoba"
1334,USD 108.000,"Dúplex en Venta en San Ignacio Village. 3 dor y 3 Baños , Patio y Asador","San Ignacio Village, Córdoba"
1335,USD 70.000,Lucas Fernández al 300,"Quebrada de las Rosas, Córdoba"
1336,USD 380.000,Donaciano del Campillo 1700,"Cerro de las Rosas, Córdoba"
1337,USD 630.000,El Bosque 221,"El Bosque, Córdoba"
1338,USD 95.000,Docta boulevard,"DOCTA, Córdoba"
1339,USD 95.000,Campillo 230 - Certificado Aprobado,"Cofico, Córdoba"
1340,USD 81.950,Lima 1300,"General Paz, Córdoba"
1341,USD 108.000,El Plumerillo 2200,"Parque Chacabuco, Córdoba"
1342,USD 110.000,AV. Donosa 100 - Miradores DE Manantiales 2,"Miradores de Manantiales, Córdoba"
1343,USD 99.500,Obispo Trejo Esquina Peru,"Nueva Córdoba, Córdoba"
1344,USD 83.000,Bell Ville 8900,"Villa Rivera Indarte, Córdoba"
1345,USD 690.000,"Villa Belgrano, Córdoba Argentina","Villa Belgrano, Córdoba"
1346,USD 75.000,Calle Lote / N° 5,"DOCTA, Córdoba"
1347,USD 230.000,Rogelio Martinez,"Rogelio Martínez, Córdoba"
1348,USD 97.300,Nicolas Avellaneda 2223,"Alta Córdoba, Córdoba"
1349,USD 65.400,felix frias 61,"General Paz, Córdoba"
1350,USD 175.000,Cañuelas Chico 0,"Cañuelas Country Golf, Córdoba"
1351,USD 94.900,Miradores de Manantiales 0,"Miradores de Manantiales, Córdoba"
1352,USD 185.000,AV OHIGGINS 6100,"Greenville II, Córdoba"
1353,Consultar precio,Ejercito Argentino 9500,"Lomas de la Carolina, Córdoba"
1354,USD 398.000,Isaac Newton al 5700,"Villa Belgrano, Córdoba"
1355,USD 128.000,Rondeau 69,"Nueva Córdoba, Córdoba"
1356,$ 61.279.734,24 de Septiembre 1170- Green Life II,"General Paz, Córdoba"
1357,USD 68.000,General paz 3400,"Alta Córdoba, Córdoba"
1358,USD 170.000,Esquiu al 400,"General Paz, Córdoba"
1359,USD 88.500,Viamoente al 400,"General Paz, Córdoba"
1360,USD 102.000,Consultar dirección,"DOCTA, Córdoba"
1361,USD 42.000,DEAN FUNES 934,"Alberdi, Córdoba"
1362,USD 78.000,Pueyrredón 238,"Nueva Córdoba, Córdoba"
1363,USD 430.000,Santina Norte / Valle Escondido,"Santina Norte, Córdoba"
1364,USD 58.000,Departamento General Paz! 1 Dormitorio! Excelente,"General Paz, Córdoba"
1365,USD 153.000,Venta Duplex en Manantiales 3 Dormitorios Entrega + Financiacion,"Manantiales, Córdoba"
1366,$ 70.755.000,Obispo Salguero 655,"Nueva Córdoba, Córdoba"
1367,Consultar precio,velez sarsfield 1153,"Nueva Córdoba, Córdoba"
1368,USD 66.900,san Ignacio Village,"Manantiales, Córdoba"
1369,USD 165.000,Apolinario Rivas al 1300,"Colinas del Cerro, Córdoba"
1370,USD 38.000,"Departamento en Venta en Barrio Pueyrredon, 1 Dormitorio,balcon, a Estrenar","General Pueyrredón, Córdoba"
1371,USD 135.000,Portales Del Sur (calle Huiliches),"Parque Atlántica, Córdoba"
1372,USD 45.000,"Torre H!! Bº Guemes, Exclusivo Dpto 1 Dorm!","Güemes, Córdoba"
1373,USD 45.000,General Paz 81,"Centro, Córdoba"
1374,USD 165.000,Av. Recta Martinoli 7150,"Villa Belgrano, Córdoba"
1375,USD 200.000,Poeta Lugones 72 72,"Nueva Córdoba, Córdoba"
