,Precio,Direccion,Barrio
6503,USD 249.000,Tycho Brahe al 4900,"Villa Belgrano, Córdoba"
6504,USD 35.000,"A Estrenar 1 Dormitorio en 3° Piso, México al 1100","General Pueyrredón, Córdoba"
6505,USD 68.000,"Venta Departamento 2 Dormitorios y Cochera, Suipacha 1300","General Pueyrredón, Córdoba"
6506,USD 75.700,Nueva Cordoba Espectacular Ubicacion Lanin 11 Preventa Lanzamiento!!,"Nueva Córdoba, Córdoba"
6507,USD 85.000,CASTRO BARROS 75,"Providencia, Córdoba"
6508,USD 60.000,,"Sarmiento, Córdoba"
6509,USD 61.900,Bv San Juan 100 8°,"Nueva Córdoba, Córdoba"
6510,USD 50.000,Parana al 300,"Nueva Córdoba, Córdoba"
6511,USD 32.000,pasaje san agustin 377,"Centro, Córdoba"
6512,USD 91.000,Nazaret 3151,"Cerro de las Rosas, Córdoba"
6513,USD 69.000,Juan B Justo 2483,"Alta Córdoba, Córdoba"
6514,USD 17.000,Montevideo al 700,"Güemes, Córdoba"
6515,USD 80.000,Eduardo Katsuda 5630,"Granja de Funes, Córdoba"
6516,USD 185.000,BARTOLOME JAIME 76,"Marqués de Sobremonte, Córdoba"
6517,USD 180.000,SAN Martin al 300,"Colón, Córdoba"
6518,USD 45.000,José Esteban Echeverria 1980,"Mariano Balcarce, Córdoba"
6519,USD 400.000,,"URCA, Córdoba"
6520,USD 105.000,lima 1300,"General Paz, Córdoba"
6521,USD 92.000,Av. Donosa SN,"DOCTA, Córdoba"
6522,USD 125.000,Av. Ambrosio Olmos 836,"Nueva Córdoba, Córdoba"
6523,USD 50.500,Bedoya 990,"Cofico, Córdoba"
6524,USD 90.000,EDUARDO ACEVEDO 6885,"Argüello, Córdoba"
6525,USD 70.000,24 de Septiembre al 1331,"General Paz, Córdoba"
6526,USD 53.500,Avenida Santa Fe 275,"Alberdi, Córdoba"
6527,USD 57.000,,"Las Palmas, Córdoba"
6528,USD 104.000,Caseros 3100,"Alto Alberdi, Córdoba"
6529,USD 140.000,Baradero al 1800,"Jardín, Córdoba"
6530,USD 74.999,Jose Javier Diaz 2000,"Residencial San Carlos, Córdoba"
6531,USD 60.000,lima 1384,"General Paz, Córdoba"
6532,Consultar precio,Ushuaia y Cañada de Gomez,"Manantiales, Córdoba"
6533,USD 90.000,diamante 4000,"Ameghino Sud, Córdoba"
6534,USD 165.000,,"Prados de Manantiales, Córdoba"
6535,USD 390.000,La Carolina 5525,"La Carolina, Córdoba"
6536,USD 85.000,la Falda al 5100,"Córdoba, Córdoba"
6537,USD 132.000,"docta, Córdoba, Córdoba, Argentina.","DOCTA, Córdoba"
6538,USD 39.000,Emilio Salgari 1800,"Empalme, Córdoba"
6539,USD 76.000,Bv. Ilia 218,"Nueva Córdoba, Córdoba"
6540,USD 99.999,Bv Chacabuco 500,"Nueva Córdoba, Córdoba"
6541,USD 150.000,Rondeau al 500,"Nueva Córdoba, Córdoba"
6542,$ 110.000,,"Villa Warcalde, Córdoba"
6543,USD 52.000,,"Alberdi, Córdoba"
6544,USD 110.000,JOSE LEON PAGANO,"Poeta Lugones, Córdoba"
6545,USD 99.000,,"Nueva Córdoba, Córdoba"
6546,USD 70.000,Av. Rosario de Santa Fe al 711,"General Paz, Córdoba"
6547,USD 162.000,Barros Pasos al 3800,"URCA, Córdoba"
6548,USD 95.000,,"Villa Rivera Indarte, Córdoba"
6549,USD 60.000,De Los Regidores 1100,"Marqués de Sobremonte, Córdoba"
6550,USD 25.000,Arturo Orgaz 65,"Alberdi, Córdoba"
6551,USD 340.000,Juan Neper al 5900,"Villa Belgrano, Córdoba"
6552,USD 120.000,,"Valle del Cerro, Córdoba"
6553,USD 43.000,,"Cofico, Córdoba"
6554,USD 98.000,Cartagena 2323,"Crisol Sur, Córdoba"
6555,USD 63.000,Lima 1300 4°,"General Paz, Córdoba"
6556,USD 96.500,Lima 1300 1°,"General Paz, Córdoba"
6557,USD 27.999,Bialet Masse 1700 4°,"Providencia, Córdoba"
6558,USD 115.000,ruta 20 sn,"DOCTA, Córdoba"
6559,USD 143.000,Costas de Manatiales,"Costas de Manantiales, Córdoba"
6560,USD 68.000,Bv Illia al 200,"Nueva Córdoba, Córdoba"
6561,USD 430.000,,"Valle Escondido , Córdoba"
6562,USD 85.000,Obispo Oro 172,"Nueva Córdoba, Córdoba"
6563,USD 40.000,Mariano Moreno 387,"Alberdi, Córdoba"
6564,USD 62.000,Achaval Rodríguez 1453,"Alberdi, Córdoba"
6565,USD 153.000,Terrazas de Manantiales M 13 L 7,"Terrazas de Manantiales, Córdoba"
6566,USD 185.000,Housing Caserío - Villa Belgrano,"Villa Belgrano, Córdoba"
6567,USD 45.000,Rivera Indarte al 1415,"Cofico, Córdoba"
6568,USD 34.999,Dean Funes 1000 3°,"Alberdi, Córdoba"
6569,USD 34.999,La Rioja 200 1°,"Centro, Córdoba"
6570,USD 280.000,Villa Warcalde,"Villa Warcalde, Córdoba"
6571,USD 79.000,RONDEAU,"Nueva Córdoba, Córdoba"
6572,USD 230.000,Av. Republica de China 745,"Valle Escondido , Córdoba"
6573,USD 63.000,Magna 9 1 F,"General Paz, Córdoba"
6574,USD 70.000,Alejandro Vieyra 2949,"Alto Alberdi, Córdoba"
6575,USD 85.000,Miguel A Palacios 1765,"Smata, Córdoba"
6576,USD 60.000,Ambrosio Olmos al 800,"Nueva Córdoba, Córdoba"
6577,USD 180.000,Ohhigins al 6000,"Greenville II, Córdoba"
6578,USD 39.786,Intendente Ramon Bautista Mestre,"Las Rosas, Córdoba"
6579,USD 94.000,BALCARCE 526,"Nueva Córdoba, Córdoba"
6580,USD 35.000,mariano fragueiro 257,"Centro, Córdoba"
6581,USD 98.000,Poeta Lugones,"Nueva Córdoba, Córdoba"
6582,USD 40.000,Pedernera al 1200,"San Vicente, Córdoba"
