,Precio,Direccion,Barrio
3906,USD 198.000,Roque Ferreyra 1000,"URCA, Córdoba"
3907,USD 75.000,Manzana 10 Lote 03 Docta,"DOCTA, Córdoba"
3908,USD 220.000,Consultar dirección,"Villa Belgrano, Córdoba"
3909,USD 75.000,Cassaffousth al 1600,"Providencia, Córdoba"
3910,USD 42.000,Avenida colon 3048,"Alto Alberdi, Córdoba"
3911,USD 100.000,Chacabuco al 1100,"Nueva Córdoba, Córdoba"
3912,USD 820.000,Jeronimo Cardan 5700,"Villa Belgrano, Córdoba"
3913,USD 65.000,Parana 412 - Posesion Iinmediata-,"Nueva Córdoba, Córdoba"
3914,USD 157.000,Poeta Lugones al 204,"Nueva Córdoba, Córdoba"
3915,USD 580.000,El Bosque 1,"El Bosque, Córdoba"
3916,USD 530.000,Country Jockey Club - CON Escritura,"Jockey Club, Córdoba"
3917,USD 109.599,Venta DE 13 Departamentos Tipo Duplex EN EL Exclusivo Barrio Costas DE Manantiales,"Costas de Manantiales, Córdoba"
3918,USD 120.000,Manantiales - Casa a Estrenar - Patio y Asador,"Córdoba, Córdoba"
3919,USD 120.000,Faro de Cofico - Jujuy 1500,"Cofico, Córdoba"
3920,USD 320.000,Sergio Camargo 6900,"Argüello, Córdoba"
3921,USD 160.000,Avenida Gauss 4600,"Villa Belgrano, Córdoba"
3922,USD 75.000,Boulevard Chacabuco 472,"Nueva Córdoba, Córdoba"
3923,USD 72.000,Lungo - Ultimas Unidades -,"Nueva Córdoba, Córdoba"
3924,USD 44.000,"Venta Departamento, 1 Dorm - B° General paz - Calle Lima 1684.","General Paz, Córdoba"
3925,USD 74.000,"Nueva Córdoba, Paraná e Illía","Nueva Córdoba, Córdoba"
3926,USD 73.000,Obispo Salguero 600,"Nueva Córdoba, Córdoba"
3927,USD 175.000,AV Poeta Lugones 72 - Posesion 2023 -,"Nueva Córdoba, Córdoba"
3928,USD 58.500,25 DE Mayo 1600,"General Paz, Córdoba"
3929,USD 120.000,Ibarbalz 700,"General Paz, Córdoba"
3930,USD 179.000,Av. República de China al 700,"Patagonia Village, Valle Escondido "
3931,USD 49.000,José de Calasanz al 300,"Alberdi, Córdoba"
3932,USD 89.500,Ob Salguero al 700,"Nueva Córdoba, Córdoba"
3933,USD 80.000,La Calandria,"La Calandria, Córdoba"
3934,USD 120.000,Hermosos Departamentos 2 Dorm A Estrenar EN B° General Paz.,"General Paz, Córdoba"
3935,USD 85.000,Campillo 200 - Precio Destacado -,"Cofico, Córdoba"
3936,USD 320.000,Donaciano del Campillo 1550 - Caseron - Cerro De Las Rosas - 1243 m2 Terreno - 450 Cubiertos,"Cerro de las Rosas, Córdoba"
3937,USD 120.000,Sol de Mayo al 400,"Alto Alberdi, Córdoba"
3938,USD 770.000,Country Jockey Club,"Jardín, Córdoba"
3939,USD 130.000,Ibarbalz 700,"General Paz, Córdoba"
3940,USD 150.000,Avila Y Zarate 2200,"Cerro de las Rosas, Córdoba"
3941,USD 178.000,Carlos Nicolle 5800,"Villa Belgrano, Córdoba"
3942,USD 61.000,Lima al 1000,"General Paz, Córdoba"
3943,USD 25.000,Armenia al 2300,"General Pueyrredón, Córdoba"
3944,USD 57.000,Ambrosio Olmos 700 -posesion Inmediata - Opcion Cochera,"Nueva Córdoba, Córdoba"
3945,USD 550.000,Juan Romualdo Baez 50,"Cañuelas Country Golf, Córdoba"
3946,USD 148.000,Comarca de Allende,"Comarca de Allende, Córdoba"
3947,USD 125.000,Jardines Del Olmos,"Jardines del Olmo, Córdoba"
3948,USD 210.000,Consultar dirección,"Quintas de Arguello, Córdoba"
3949,USD 145.000,Housing Alto Belgrano - Premium -,"Villa Belgrano, Córdoba"
3950,USD 110.000,La Catalina - Avenida Bodereau 100,"Córdoba, Córdoba"
3951,USD 273.000,Tomás Garzón 5700 PB,"Villa Belgrano, Córdoba"
3952,USD 130.000,Prados De Manantiales Lote / N° 0,"Prados de Manantiales, Córdoba"
3953,USD 115.000,Deheza 200,"General Paz, Córdoba"
3954,USD 66.000,Venta Dptos a Estrenar de 1 y 2 Dorm en Nueva Cordoba. Edificio Palatinus. Obispo Trejo 1280,"Nueva Córdoba, Córdoba"
3955,USD 67.000,Novillo Martínez 1200,"Altos de Vélez Sársfield, Córdoba"
3956,USD 195.000,Menendez Pidal 4000,"URCA, Córdoba"
3957,USD 178.000,Carlos Nicolle al 5800,"Villa Belgrano, Córdoba"
3958,USD 129.000,Luis Galeano al 900,"Las Rosas, Córdoba"
3959,USD 96.000,Opera Luxury 1 Dorm Cochera !!,"Las Rosas, Córdoba"
3960,USD 310.000,Boxitracio Lote / N° 0,"Siete Soles Naturaleza Urbana, Córdoba"
3961,USD 170.000,Andrés Oliva 3500,"San Fernando, Córdoba"
3962,USD 75.000,9 De Julio 3300,"Alto Alberdi, Córdoba"
3963,USD 199.000,Sol de Mayo al 400,"Alberdi, Córdoba"
3964,USD 305.000,Los Mimbres - Valparaiso al 6500,"Córdoba, Córdoba"
3965,USD 129.000,Aconquija 2800 - Posesion 2022,"Córdoba, Córdoba"
3966,USD 49.500,Duarte Quiros al 2500,"Alto Alberdi, Córdoba"
3967,USD 37.000,bv san Juan 950,"Observatorio, Córdoba"
3968,USD 285.000,Siete Soles,"Córdoba, Córdoba"
3969,USD 240.000,Casas 3 Dormitorios en Housing - Villa Belgrano - Blas Pascal a 50 mts de Gauss,"Villa Belgrano, Córdoba"
3970,USD 71.500,Prados de Manantiales,"Prados de Manantiales, Córdoba"
3971,USD 230.000,Marcos Sastre 1985,"Cerro de las Rosas, Córdoba"
3972,USD 105.000,"La Catalina, Av. Bodereau 8722, Cordoba","Córdoba, Córdoba"
3973,USD 250.000,Venta Departamento en Jardín Claret Summun - 2 Dormitorios - Asador,"Córdoba, Córdoba"
3974,USD 29.900,Lima al 400,"Centro, Córdoba"
3975,USD 58.000,San Martin 1316,"Cofico, Córdoba"
3976,USD 89.500,Ramon Ocampo al 2300,"Córdoba, Córdoba"
3977,USD 189.000,Carlos O. Bunge 4450,"Córdoba, Córdoba"
3978,USD 25.000,Granadero Diaz al 2900,"Zumarán, Córdoba"
3979,USD 49.000,Av Colon 4933 - Villasol,"Alto Villasol, Córdoba"
3980,USD 680.000,Country Jockey Club,"Jockey Club, Córdoba"
3981,USD 36.000,Independencia 300 5°,"Alta Córdoba, Córdoba"
3982,USD 114.999,Venta Departamento 3 Dorm. c/ Cochera General Paz Córdoba,"General Paz, Córdoba"
3983,USD 175.000,Chacra Del Sur,"Córdoba, Córdoba"
3984,USD 315.000,"Cabo Varas esquina Cabo Uzqueda, Tejas 2 100","Tejas II, Córdoba"
3985,USD 110.000,Manantiales,"Costas de Manantiales, Córdoba"
3986,USD 82.000,Roma al 1000,"General Pueyrredón, Córdoba"
3987,USD 35.000,Dean Funes 3100 2°,"Alto Alberdi, Córdoba"
3988,USD 37.800,Ongagasta al 1300,"General Bustos, Córdoba"
3989,USD 120.000,Casa EN Barrio Parque Velez Sarsfield - Calle Naciones Unidas,"Parque Vélez Sársfield, Córdoba"
3990,USD 150.000,Martin Garcia al 1400,"San Martín, Córdoba"
3991,USD 66.500,Abel Chaneton al 367,"San Fernando, Córdoba"
3992,USD 50.000,Pincen 700,"20 de junio, Córdoba"
3993,USD 85.000,Av. Velez Sarfield 3500,"Las Flores, Córdoba"
3994,USD 100.000,Horcosun 2200,"Parque Capital, Córdoba"
3995,USD 325.000,Luis de Tejeda al 4000,"Cerro de las Rosas, Córdoba"
3996,USD 130.000,Lima 1695,"General Paz, Córdoba"
3997,USD 320.000,Obispo Salguero 800,"Nueva Córdoba, Córdoba"
3998,USD 140.000,Ayacucho al 2800,"Parque Vélez Sársfield, Córdoba"
3999,USD 68.000,Duarte Quirós 1600 1°,"Alto Alberdi, Córdoba"
4000,USD 105.000,Colon 4900 6°,"Las Palmas, Córdoba"
4001,USD 165.000,Green Ville 2 Lote / N° 6100,"Greenville II, Córdoba"
4002,USD 120.000,Consultar dirección,"URCA, Córdoba"
4003,USD 490.000,Del Guayacan 1795,"Las Delicias, Córdoba"
4004,USD 280.000,Argañaras y Murgia 3300,"Jardín Espinosa, Córdoba"
4005,USD 60.000,Padre Luis Monti al 3900,"Yofre Sud, Córdoba"
4006,USD 49.000,25 de Mayo 1639,"General Paz, Córdoba"
4007,USD 131.400,Aviva Nueva Cordoba II- Obispo Trejo 1113,"Nueva Córdoba, Córdoba"
4008,USD 50.000,Parana 400,"Nueva Córdoba, Córdoba"
4009,USD 155.000,Los pontones 50,"Jardín, Córdoba"
4010,USD 160.000,Greenville 2,"Greenville II, Córdoba"
4011,USD 32.000,Argandoña al 3000,"San Vicente, Córdoba"
4012,USD 65.000,Bv. Mitre al 600,"Centro, Córdoba"
4013,USD 85.000,San Ignacio,"San Ignacio, Córdoba"
4014,USD 330.000,Argañaraz Y Murguía 3400,"Jardín Espinosa, Córdoba"
4015,USD 43.000,Dean Funes 883,"Alberdi, Córdoba"
4016,USD 85.000,general deheza 950,"General Pueyrredón, Córdoba"
4017,USD 107.200,Transito Caceres DE Allende 400 - Posesion 2025 -,"Nueva Córdoba, Córdoba"
4018,USD 165.000,Bº Alejandro Centeno - Manuel Pizarro y Quiroga Sarmiento,"Alejandro Centeno, Córdoba"
4019,USD 72.000,Carlos Nicolle 5893,"Villa Belgrano, Córdoba"
4020,USD 690.000,Country Jockey Club 1400,"Country Jockey Club, Córdoba"
4021,USD 140.000,Carlos Nicolle 5800,"Villa Belgrano, Córdoba"
4022,USD 1,AV. Republica China 100 - Patagonia Village -,"Valle Escondido , Córdoba"
4023,USD 205.000,Ernesto Piotti 6500,"Argüello, Córdoba"
4024,USD 125.000,De Los Extremeños 4900,"Jardín Claret, Córdoba"
4025,USD 450.000,Berthelot 5000,"Villa Belgrano, Córdoba"
4026,USD 120.000,Zaragosa 2300,"Crisol Sur, Córdoba"
4027,USD 100.000,San Ignacio Village,"San Ignacio, Córdoba"
4028,USD 650.000,Cañuelas Country Lote / N° 0,"Cañuelas Country Golf, Córdoba"
4029,USD 155.000,Housing Barrancas DE Rivera Indarte - C/ Escritura -,"Villa Rivera Indarte, Córdoba"
4030,USD 100.000,Docta Urbanizacion - Posesion Inmediata -,"DOCTA, Córdoba"
4031,USD 350.000,"San Isidro, Villa Allende","Córdoba, Córdoba"
4032,USD 45.000,27 de Abril al 632,"Centro, Córdoba"
4033,USD 42.000,27 de Abril 1695,"Alberdi, Córdoba"
4034,USD 45.000,,"Centro, Córdoba"
4035,USD 53.000,,"Nueva Córdoba, Córdoba"
4036,USD 130.000,Pigue al 2200,"Jardín, Córdoba"
4037,USD 74.000,,"Nueva Italia, Córdoba"
4038,USD 310.000,Juan Borelli 6300,"Villa Belgrano, Córdoba"
4039,USD 55.000,Juéz Barraco Mármol 1114,"General Bustos, Córdoba"
4040,USD 50.000,Aldo Facundo Vergara 623,"Las Dalias, Córdoba"
4041,USD 65.000,Av. Poeta Lugones 216,"Nueva Córdoba, Córdoba"
4042,USD 305.000,Jardines del Jockey - Alumbrado al 3800,"Córdoba, Córdoba"
4043,USD 70.000,Av Velez Sarsfield al 700,"Nueva Córdoba, Córdoba"
4044,USD 185.000,Sol de Mayo 420,"Alto Alberdi, Córdoba"
4045,$ 90.000,,"Zumarán, Córdoba"
4046,USD 57.000,,"Los Robles, Córdoba"
4047,USD 280.000,,"Valle Escondido , Córdoba"
4048,USD 125.000,Obispo Oro 345,"Nueva Córdoba, Córdoba"
4049,USD 159.000,Siete Soles,"Siete Soles Naturaleza Urbana, Córdoba"
4050,USD 148.000,Pistonala y Bv. Reanult 0,"Manantiales, Córdoba"
4051,USD 135.000,Docta - Casa (no Duplex) 3 Dorm + Escritorio / Pileta,"DOCTA, Córdoba"
4052,USD 95.000,CLETO PEÑA 1926,"Córdoba, Córdoba"
4053,USD 120.000,Av. Colon 675,"Centro, Córdoba"
4054,USD 73.500,Ignea 14 Nueva Cordoba - Posesion Dic 2023 Dpto 1 Dormitorio Orientacion Norte,"Nueva Córdoba, Córdoba"
4055,USD 70.000,Ramon Gil Barros 1300,"Parque San Vicente, Córdoba"
4056,USD 159.000,Av Emilio Lamarca 3800,"URCA, Córdoba"
4057,USD 62.000,av 24 de septiembre 1356,"General Paz, Córdoba"
4058,USD 45.000,Estrada 73,"Nueva Córdoba, Córdoba"
4059,USD 140.000,LAVALLEJA 1077,"Cofico, Córdoba"
4060,USD 124.000,,"Miradores de Manantiales II, Córdoba"
4061,USD 90.000,Av Pueyrredon 675,"Observatorio, Córdoba"
4062,USD 600.000,Eguia Zanon 10100,"La Arboleda, Villa Warcalde"
4063,USD 105.000,Docta URBNIZACION INTELIGENTE 1,"Córdoba, Córdoba"
4064,USD 162.000,Barros Pasos al 3800,"URCA, Córdoba"
4065,USD 240.000,Valle Escondido Lote / N° 0,"Valle Escondido , Córdoba"
4066,USD 85.000,Avenida Colon 4800 12°,"Las Palmas, Córdoba"
4067,USD 185.000,CNO SAN CARLOS 6500,"Greenville II, Córdoba"
4068,USD 195.000,Av. O´higgins 6000,"Greenville II, Córdoba"
4069,USD 90.000,"Monte Buey 8700, X5018DIN Córdoba","Villa Rivera Indarte, Córdoba"
4070,USD 140.000,CANTERAS DE QUILPO 9063,"Villa Rivera Indarte, Córdoba"
4071,USD 20.305,Int. Ramón Bautista Mestre 3000,"Las Rosas, Córdoba"
4072,USD 135.000,Bernardo O'Higgins,"Greenville II, Córdoba"
4073,USD 53.500,Avenida Santa Fe 275,"Alberdi, Córdoba"
4074,USD 65.000,LIMA 1100,"General Paz, Córdoba"
4075,USD 80.000,Rivera Indarte 1458,"Alta Córdoba, Córdoba"
4076,USD 420.000,Milenica Rodriguez del Busto,"Alto Verde, Córdoba"
4077,USD 185.000,Chacras del Norte Duplex de Categoría en Venta 3 Dormitorios 3 Baños,"Chacra del Norte, Córdoba"
4078,USD 52.000,Angelo de Peredo 20 Nueva Cordoba ,"Nueva Córdoba, Córdoba"
4079,USD 84.800,Taninga al 3156,"Colón, Córdoba"
4080,USD 390.000,,"Alto Villasol, Córdoba"
4081,USD 38.000,Benito Pérez Galdos 2940,"Zumarán, Córdoba"
4082,USD 100.000,Cacheuta 3300,"Córdoba, Córdoba"
4083,USD 175.000,Buenos Aires 1246,"Nueva Córdoba, Córdoba"
4084,USD 74.500,Buenos Aires al 400,"Nueva Córdoba, Córdoba"
4085,USD 65.000,Bedoya 531,"Cofico, Córdoba"
4086,USD 30.000,Gral.guemes al 800,"General Pueyrredón, Córdoba"
4087,USD 169.000,Mansos DEL SUR Duplex A Estrenar,"Mansos del Sur, Córdoba"
4088,USD 140.000,,"Quebrada de las Rosas, Córdoba"
4089,USD 100.000,Antonio de Azcona 1,"Villa San Carlos, Córdoba"
4090,USD 21.500,Sol De Mayo 1300 3°,"Córdoba, Córdoba"
4091,USD 38.000,Jacinto Rios 400,"General Paz, Córdoba"
4092,USD 32.000,Colon al 2800,"Alto Alberdi, Córdoba"
4093,USD 38.000,san jose de calasanz,"Observatorio, Córdoba"
4094,USD 30.000,La Rioja 619,"Centro, Córdoba"
4095,USD 57.900,Pasos de los Andes 72,"Alberdi, Córdoba"
4096,USD 650.000,Molino Viejo 7900,"Villa Warcalde, Córdoba"
4097,USD 670.000,Lomas de la Carolina,"Lomas de los Carolinos, Córdoba"
4098,USD 74.900,Lombardia al 4500,"Córdoba, Córdoba"
4099,USD 390.000,Av. Amadeo Sabattini al 700,"Colón, Córdoba"
4100,USD 50.000,soldado ruiz 2657,"Altos de San Martín, Córdoba"
4101,USD 470.000,Av. Republica de China 2000,"Valle Escondido , Córdoba"
4102,USD 125.000,Agustín Piaggio 822,"La Calandria, Córdoba"
4103,USD 79.500,soldado ruiz,"San Martín, Córdoba"
4104,USD 117.000,Av. Valparaiso 5500,"Inaudi, Córdoba"
4105,USD 95.000,,"Villa Rivera Indarte, Córdoba"
4106,USD 300.000,Enrique Cavendish al 6100,"Villa Belgrano, Córdoba"
4107,USD 56.000,Duarte Quiros 987,"Córdoba, Córdoba"
4108,USD 55.000,Alvear al 300,"Centro, Córdoba"
4109,USD 280.000,Tejas del Sur 1 Excelente Ubicacion al Frente Colegio San Patricio y Centro Comercial,"Las Tejas del Sur, Córdoba"
4110,USD 45.000,,"Alto Alberdi, Córdoba"
4111,USD 240.000,Miradores de Manantiales 1,"Miradores de Manantiales, Córdoba"
4112,USD 53.500,Jujuy 2064,"Alta Córdoba, Córdoba"
4113,$ 45.000,Alejandro Vieyra 2823,"Alto Alberdi, Córdoba"
4114,USD 135.000,,"Maipú, Córdoba"
4115,USD 140.000,Tránsito Cáceres de Allende 400,"Nueva Córdoba, Córdoba"
4116,USD 95.000,Buenos Aires al 1400,"Nueva Córdoba, Córdoba"
4117,$ 190.000,Valparaiso 4900,"Córdoba, Córdoba"
4118,USD 195.000,Republica Popular China 700,"Valle Escondido , Córdoba"
4119,USD 43.000,Belgrano 275,"Centro, Córdoba"
4120,USD 189.000,Complejo Costa Belgrano - Villa Belgrano - Roberto Boyle al 6100,"Villa Belgrano, Córdoba"
4121,USD 550.000,Naheul Huapi,"La Reserva, Córdoba"
4122,USD 120.000,La Rioja 900,"Centro, Córdoba"
4123,USD 27.000,Bolivar al 700,"Güemes, Córdoba"
4124,USD 35.000,,"General Bustos, Córdoba"
4125,USD 51.200,"Local 2, Barrio Avenida, Hipólito Vieytes 1313, X5010 Córdoba, Argentina","Alberdi, Córdoba"
4126,USD 63.000,,"General Paz, Córdoba"
4127,USD 55.000,Av. J. M. de Pueyrredón 536,"Güemes, Córdoba"
4128,USD 60.000,olivares,"Matienzo, Córdoba"
4129,USD 127.500,Damian Garat 2740,"Nuevo Poeta Lugones, Córdoba"
4130,USD 39.000,Emilio Salgari 1800,"Empalme, Córdoba"
4131,$ 155.000, Av. Valparaíso 4900,"La Luisita, Córdoba"
4132,USD 55.000,Ituzaingó 572,"Nueva Córdoba, Córdoba"
4133,USD 45.000,AV. COLON 1437,"Alberdi, Córdoba"
4134,USD 65.000,,"Matienzo, Córdoba"
4135,USD 65.000,Copiapo al 1500,"San Vicente, Córdoba"
4136,USD 60.000,Rondeau 420,"Nueva Córdoba, Córdoba"
4137,USD 90.000,Javier López 3022,"Alto Verde, Córdoba"
4138,USD 16.000,Bv Perón 1100,"Centro, Córdoba"
4139,USD 99.500,Lima AL 1300,"General Paz, Córdoba"
4140,USD 140.000,,"Manantiales, Córdoba"
4141,USD 60.000,Emilio Olmos 300,"Centro, Córdoba"
4142,USD 150.000,Aconquija 2892,"Córdoba, Córdoba"
4143,USD 73.000,Bv de la estación 1249,"Jardín, Córdoba"
4144,USD 310.000,Complejo Sureño de Manantiales,"Córdoba, Córdoba"
4145,USD 29.500,Puplica E Sur 4000,"Carrara de Horizonte, Córdoba"
4146,USD 155.000,Velez Sarsfield Lote / N° 3000 5°,"Casonas del Sur, Las Rosas"
4147,USD 149.000,Carlos Lopez Buchardo 3192,"Los Plátanos, Córdoba"
4148,USD 70.000,Alejandro Vieyra 2949,"Alto Alberdi, Córdoba"
4149,USD 72.000,Av. Velez Sarsfield al 700,"Nueva Córdoba, Córdoba"
4150,USD 48.000,Berutti 3200 San Vicente,"San Vicente, Córdoba"
4151,USD 55.000,BARTOLOME ARGENSOLA 1640,"Los Paraísos, Córdoba"
4152,USD 186.000,Pablo Buitrago 6258,"Argüello, Córdoba"
4153,USD 215.000,Altos de Manantiales,"Altos de Manantiales, Córdoba"
4154,USD 68.000,Obispo Trejo 1154,"Nueva Córdoba, Córdoba"
4155,USD 67.500,Ayacucho 341,"Nueva Córdoba, Córdoba"
4156,USD 100.000,"la calandria, Córdoba, Córdoba, Argentina.","Córdoba, Córdoba"
4157,USD 320.000,Argañaraz y Murguia 3780,"Córdoba, Córdoba"
4158,USD 245.000,Villa Belgrano Avogadro esq Branly,"Villa Belgrano, Córdoba"
4159,USD 120.000,,"Jardín Espinosa, Córdoba"
4160,USD 130.000,Rodriguez Peña 1264,"Alto Alberdi, Córdoba"
4161,USD 180.000,Av. Cdad. de Valparaíso 4971,"La Luisita, Córdoba"
4162,USD 160.000,Rondeau al 500,"Córdoba, Córdoba"
4163,USD 92.000,Docta Central 0,"DOCTA, Córdoba"
4164,USD 195.000,Huascar al 8600,"Argüello, Córdoba"
4165,USD 305.000,Jardines del Jockey - Alumbrado al 3800,"Córdoba, Córdoba"
4166,USD 45.000,27 de Abril 1188,"Alberdi, Córdoba"
4167,USD 70.000,ndependencia 533,"Nueva Córdoba, Córdoba"
4168,USD 125.000,Pardos y Morenos al 1900,"Crisol Norte, Córdoba"
4169,USD 167.000,,"Manantiales, Córdoba"
4170,USD 76.000,,"Centro, Córdoba"
4171,USD 59.000,juan b justo,"Alta Córdoba, Córdoba"
4172,USD 60.000,"Juan de Garay 1755, Córdoba, Córdoba, Argentina.","General Pueyrredón, Córdoba"
4173,USD 48.000,José Benito Cottolengo 600,"Cofico, Córdoba"
4174,USD 125.000,Docta Urbanización,"DOCTA, Córdoba"
4175,USD 68.000,LIMA 987,"General Paz, Córdoba"
4176,USD 120.000,Sin Nombre S/n Lote / N° 0,"Costas de Manantiales, Córdoba"
4177,USD 103.000,Ituzaingo al 700,"Nueva Córdoba, Córdoba"
4178,USD 175.000,Aston 6130,"Villa Belgrano, Córdoba"
4179,USD 38.000,AVDA OLMOS 279,"Centro, Córdoba"
4180,USD 65.000,Pichincha,"General Paz, Córdoba"
4181,USD 120.000,,"Don Bosco, Córdoba"
4182,USD 130.000,Camino Las Toscas,"Villa Esquiú, Córdoba"
4183,USD 165.000,Huascar 8690,"Argüello, Córdoba"
4184,$ 25.000,Laprida ,"Observatorio, Córdoba"
4185,USD 135.000,Lino Spilimbergo 1,"Chacra del Norte, Córdoba"
4186,USD 64.900,Bv Illia al 500,"Nueva Córdoba, Córdoba"
4187,USD 93.000,Calle Publica Lote / N° 0,"Quebrada de Manantiales, Córdoba"
4188,Consultar precio,,"Córdoba, Córdoba"
4189,USD 135.000,Altos de Villasol 000,"Mirador, Córdoba"
4190,Consultar precio,Molino de Torres 5301,"El Bosque, Córdoba"
4191,USD 68.000,Bv Illia al 200,"Nueva Córdoba, Córdoba"
4192,USD 33.000,Los Aromos 517,"Villa Warcalde, Córdoba"
4193,USD 165.000,Córdoba - Prados de Manantiales,"Prados de Manantiales, Córdoba"
4194,USD 145.000,IÑIGO DE LA PASCUA 3224,"Jardín Espinosa, Córdoba"
4195,USD 39.000,Bolivar 900,"Córdoba, Córdoba"
4196,USD 46.000,Payen 9000,"Cerro Norte, Córdoba"
4197,USD 85.000,Luis Maria Drago 600,"San Fernando, Córdoba"
4198,USD 32.000,CASEROS,"Alberdi, Córdoba"
4199,USD 85.000,PUBLICA 7053 MZA 2 LOTE 37,"Los Boulevares, Córdoba"
4200,USD 285.000,,"Quebrada de las Rosas, Córdoba"
4201,USD 260.000,ALMARAZ 8600,"El Refugio, Córdoba"
4202,USD 56.500,Bv Mitre 517,"Centro, Córdoba"
4203,USD 180.000,,"Quintas de Arguello, Córdoba"
4204,USD 357.000,,"Los Cielos, Valle Escondido "
4205,Consultar precio,,"Cerro de las Rosas, Córdoba"
4206,USD 200.000,Calmayo 2010,"Jardín, Córdoba"
4207,USD 56.000,Peredo 20,"Nueva Córdoba, Córdoba"
4208,USD 65.000,Bedoya 531,"Cofico, Córdoba"
4209,USD 125.000,,"Parque Capital, Córdoba"
4210,USD 95.000,Obispo Trejo 651,"Nueva Córdoba, Córdoba"
4211,USD 650.000,Molino de Torres 697,"El Bosque, Córdoba"
4212,USD 40.000,ciudad de esteco ,"Las Margaritas, Córdoba"
4213,USD 170.000,Nuevo Poeta Lugones,"Nuevo Poeta Lugones, Córdoba"
4214,USD 97.900,VELES SARSFIELD 520,"Nueva Córdoba, Córdoba"
4215,USD 139.000,Manantiales Lote / N° 0,"Solares de Manantiales, Córdoba"
4216,USD 300.000,Felix Olmedo 2489,"Rogelio Martínez, Córdoba"
4217,USD 85.000,Juan. B justo 2337,"Alta Córdoba, Córdoba"
4218,USD 135.000,Marcelino Tisera 4881,"Padre Claret, Córdoba"
4219,USD 59.000,Gelly Obes 3000,"Villa Azalais, Córdoba"
4220,USD 98.000,Obispo salguero 466,"Nueva Córdoba, Córdoba"
4221,USD 98.000,Obispo trejo esquina ambrosio olmos,"Nueva Córdoba, Córdoba"
4222,USD 150.000,Aconquija al 2800,"Parque Capital, Córdoba"
4223,USD 45.000,,"Alta Córdoba, Córdoba"
4224,USD 240.000,Capri Residencias Lote / N° 0,"Córdoba, Córdoba"
4225,USD 49.000,,"Nueva Córdoba, Córdoba"
4226,USD 158.000,Terrazas de Manantiales,"Terrazas de Manantiales, Córdoba"
4227,USD 89.000,ROSARIO DE SANTA FE 930,"General Paz, Córdoba"
4228,USD 380.000,EL Balcon,"El Balcón, Valle Escondido "
4229,USD 45.000,Av. Colon 2738,"Alto Alberdi, Córdoba"
4230,USD 21.000,Ramos Mejía 1236,"Acosta, Córdoba"
4231,USD 48.000,AV COLON 4933,"Córdoba, Córdoba"
4232,USD 55.000,Rosario de Santa Fe al 930,"General Paz, Córdoba"
4233,USD 77.000,BARADERO 2226,"Residencial San Carlos, Córdoba"
4234,USD 69.000,Bolivia al 100,"Nueva Córdoba, Córdoba"
4235,USD 54.000,Boulevard San Juan 292,"Nueva Córdoba, Córdoba"
4236,USD 72.000,Bv. San Juan y Arturo M. Bas,"Centro, Córdoba"
4237,USD 290.000,Tomas de Baeza 1211,"Jardín Espinosa, Córdoba"
4238,USD 93.000,Calle Publica Lote / N° 0,"Quebrada de Manantiales, Córdoba"
4239,USD 63.000,Lima al 1300,"General Paz, Córdoba"
4240,USD 110.000,DE LOS TOSCANOS 100,"Los Boulevares, Córdoba"
4241,USD 47.000,,"Observatorio, Córdoba"
4242,USD 52.000,,"Alberdi, Córdoba"
4243,USD 55.500,Peredo al 100,"Nueva Córdoba, Córdoba"
4244,USD 135.000,Av. Colon al 2200,"Alto Alberdi, Córdoba"
4245,USD 185.000,O Higgins,"Greenville II, Córdoba"
4246,Consultar precio,David Luque 45.,"General Paz, Córdoba"
4247,USD 23.500,Egeo - Luis De Agote Y Sol De Mayo,"Residencial Santa Ana, Córdoba"
4248,USD 170.000,,"Cofico, Córdoba"
4249,USD 72.000,Chiriño De Posadas 4995,"José Ignacio Díaz, Córdoba"
4250,USD 165.000,Casonas de Manantiales,"Córdoba, Córdoba"
4251,USD 155.000,BROGIN 0,"Manantiales, Córdoba"
4252,USD 80.000,Bv. San Juan y Arturo M. Bas,"Centro, Córdoba"
4253,USD 55.000,Fragata Sarmiento 520,"Alto Alberdi, Córdoba"
4254,USD 76.500,Velez Sarsfield 762,"Nueva Córdoba, Córdoba"
4255,USD 359.000,Tycho Brahe 6000,"Villa Belgrano, Córdoba"
4256,USD 110.000,,"General Paz, Córdoba"
4257,USD 61.950,Transito Caceres de Allende al 400,"Nueva Córdoba, Córdoba"
4258,USD 67.000,Mutual de los docentes 0,"S.M.A.T.A., Córdoba"
4259,USD 70.000,Alejandro Vieyra 2949,"Alto Alberdi, Córdoba"
4260,USD 23.000,Chubut 100,"Alberdi, Córdoba"
4261,USD 65.500,Felix Frias 61,"General Paz, Córdoba"
4262,USD 20.000,Tridentina 2000,"Nueva Italia, Córdoba"
4263,USD 168.000,Ramón Cárcano 280,"Residencial del Chateau, Córdoba"
4264,USD 99.000,Esteban Pagliere 6917,"Don Bosco, Córdoba"
4265,USD 225.000,Patagonia Village 0,"Valle Escondido , Córdoba"
4266,USD 30.000,Bialet Massé 1700 4°,"Providencia, Córdoba"
4267,USD 68.000,pje jerez 2562,"Crisol Sur, Córdoba"
4268,USD 189.000,Complejo Costa Belgrano - Villa Belgrano - Roberto Boyle al 6100,"Villa Belgrano, Córdoba"
